Unnamed: 0,User Name,Review Title,Review Text,Star,Review posted time
24,Jay R.,diamond rough,soi rarely write review amazed camera wanted let others know bought camera using ring indoor camera twice price made constant clicking noise filter adjustment light room known issue ring told defect ive tried brand wyze etc disappointed tried blink mini thought good price setup breeze running 30 second app responsive user friendly wifi sloooow still loaded 1080p hd quality view w hen accessed mobile app favorite feature night vision previous camera showed dark room shadow camera show clear crisp picture pitch black darkness pleased cant go wrong 2 year indoor camera journey come end,5.0 out of 5 stars,"Reviewed in the United States on June 2, 2020"
25,Lisolet,nearly useless realtime observation 2way comm doesnt work amazon show sold,original review5 star picture quality 30 cord set show 5 ordered awesome quality 3 meter micro usb cord bulky generic amazon 5v power brick big huh though already ordered much longer one 2way communication amazon show 5 ordered combo seems odd make video call show 5 communicate someone room viewing listening blink mini experience relayed representative personally emailed initial 3 star rating told short thu jun 25 2020 522 pm iancmikellgmailcom wrotehi nice get personal response summed review slimoffset power supply fit close socket would ideal itcan plugged discretely cord barely reach camera mounted nearmy 8 ft ceiling directly outlet also need 4 inch ofclearance plug behind something ordered 25ft cable ican move plug sent picture joke setup made testthem got 25ft cable safe kid roomit also made clear customer monitorthe camera blink mobile app show similar amazondevice slowly one time flip allcameras especially many tedious turning quickglance house needing set aside time tocheck camera 5 minute period also cant monitor constantfeed home network camera intended use feed office onone monitor able watch kid quiteinconvenient check app every time see going onit take almost long getting found gettingup checking camera need check happening inreal time hit server authenticated bounced around came backto check house least 20 second delay20 second make world difference 6 2 year old eachothers companyafter writing analyzing experience far think willjust return basically wanted wifi camera make suremy kid ok worked desk set motion sense record onto adrive outit sad camera quality great feel nice andsolid speaker mics good quality clear end thepictures crisp need focusing price point may low10 15 longer cord slim wallhugging plug anddevelopment app work across device pc includedalso ability watch camera realtime wifi mode connectedto home network 2 way communication work show devicesto boot initial free trial period pay monthly sub fee up20 use,1.0 out of 5 stars,"Reviewed in the United States on June 20, 2020"
26,HG,simple fun work well,medium could loaded happy purchase feel like want simple motion detector wifi camera perfect fuss easy install work well alexa short clip big basset acting like baby howling separation anxiety puppy wash baby go away worry way video quality pretty good magnified cropped area want show messy rest room lol mounted mine ceiling actually show pretty good panoramic view whole room,5.0 out of 5 stars,"Reviewed in the United States on October 26, 2020"
27,Chris M.,useless plan use baby cam continuously streamed security cam avoid,update found perfect baby cam another inexpensive wyze camera amazon httpswwwamazoncomgpproductb076h3srxgrefppx yo dt b search asin titleieutf8th1i guess since blink mini marketed security camera shouldnt judge harshly based babycam ability security camera think work well supposed still think extended live view would help even security scenario example wanted watch area extended time case using wyze baby cam blink security cam bumped 4 starsoriginal reviewif youre buying baby cam continuously streamed security cam dont bought 2 set camera use baby camera planning adding bunch put every room unfortunate even though everything else great fatal flaw isnt live view option keep camera running 30 second time hit manual continue button keep live view going reason battery powered outletpowered securitytype camera none manual live view continue button stay long want keep watchingthere mention must press continue button every 30 second keep live view going product description couple day ago believe maybe people complaining known advance would bought camerasother picture quality good setup easy checking cheaper priced wyze camera next although company issue regarding security seems unfortunate product live view fail otherwise seems like great camera price,4.0 out of 5 stars,"Reviewed in the United States on April 23, 2020"
28,Blonde Blooper,camera junk dont pay cloud extortion,really liked camera worked perfectly free cloud storage ran beginning planned use blink sync module 2 record free cloud storage ended everything read amazon seamless process exact oppositeit took 2 week get camera record blink mini record feel like amazon removed feature app worked cloud try force buy cloud storage thumbnail image removed sorting event camera removed etc etc dumbed version app making worst basic home security app ive ever seen would pay working app one existed would write api existed amazon claim blink work ifttt function recording accessing file sync modulei access file around 40 hour disappear app can not save live view can not click record want record something purposely made thing slow try get buy cloud storage say slower usb call b im house wifi network sync module way faster access local usb drivei bought fastest one made leaving network accessing amazon cloud returning network network serve file phone im stupid shared usb drive connected router device network access almost instant dont get message say please wait usb drive slow timer put coder make slowi could go thing dodont buy camera unless want pay cloud storage life camera,1.0 out of 5 stars,"Reviewed in the United States on June 13, 2021"
29,Tech Guru,misleading storage,amazon really dropped ball buy essentially worthless unless pony cloud subscription without subscription functionality camera ridiculously limited buy product far better option,1.0 out of 5 stars,"Reviewed in the United States on June 12, 2021"
30,Tech Guru,record 30 second burst local storage option wont stay connected wifi,camera show lot promise many showstopper make worth buying right technical issue forced return camera technical support useless 1 star cant recommendpros great picture quality twoway voice communication worked well motion detection accurate alert sent timely fashion easy set upcons record 30 second per motion event manual trigger force 10second cooldown recording local storage option network go camera there new device coming soon according blink handle local storage isnt available writing there software option available store download video pc unreliable connectivity camera would work 510 minute time drop network itd reconnect eventually drop minute later reported signal strength 8590 tech support couldnt resolve ridiculously bad tech support obviously outsourced really talking cherry im chinese jet pilot there major language barrier dont pay attention actually say wont share diagnostic information even record app ask download make useless suggestion like contact isp reconfigure network detail need reconfigured also repeat step already tried didnt help clearly theyre following bad script arent able help beyond script seems include instruction effect customer network router thats broken never camera,1.0 out of 5 stars,"Reviewed in the United States on July 10, 2020"
31,Sasquatchish,work 12 time,high hope product however half time would get alert camera offline everything listed blink website get reconnect would never work nothing internet sounded like thousand people website also issue stay online always connect live view alertsvideo recording motion detected sporadic night vision grainy always easy make final straw write review stopped recording told buy either 3 month membership 10 month membership save video watch motion detected apparently get free trial month long enough see poorly product work even get live view camera anymore without paying monthly fee literally worthless going pay monthly fee record camera unreliable begin withi one write poor product review felt need hear prevent others wasting money please buy product,1.0 out of 5 stars,"Reviewed in the United States on May 21, 2021"
32,Sasquatchish,blink change policy without telling take thing away,could leave 0 star would bought blink mini camera january 2021 free recording storage changed policy april 2021 buy subscription buy another item separate usb drive recording saved took away free storage bought camera free storage use camera way need fair require something month bought item information provided say would required tried calling blink customer support absolutely help basically told spend money product kind storage money greedy want take money grandfather provision subscription policy created account april 2020 qualify qualify created account january 2021 grandfather provision include anyone bought created account change policy fair care money,1.0 out of 5 stars,"Reviewed in the United States on May 19, 2021"
33,Cece,ready release buy wait next version,could get device stayconnect wifi device would recognize connect never stay connected show video tried numerous time trouble shot multiple time lucki couple blinkswork greatno problemsthis junk get stuff together making release,1.0 out of 5 stars,"Reviewed in the United States on April 23, 2020"
